event,month,day,text,pt,lines
1,1,12,broadcasting,7,1
2,1,13,Marathon,9,1
3,1,15,Can Gio,9,1
4,1,16,RFID Key,9,1
5,1,25,Jobalike,10,1
6,2,9,Broadcasting Happy Valley,7,2
7,2,12,Konsulat,8,1
8,2,23,regional convention,8,2
9,3,3,first visit to vietnamese congregation,7,3
10,3,7,Sciencefair,9,1
11,3,21,PD,10,1
12,4,18,PTC,8,1
13,4,19,Memorial,10,1
14,4,28,Singapore,9,1
15,4,30,Kuala Lumpur,7,2
16,5,1,flight home from Kuala Lumpur,6,2
17,5,21,imploding can,7,1
18,5,29,IB Physics SII Exam,8,2
19,6,17,Besonderer Abend für Delegierte in Velten,6,3
