key,month,start,end,rf,gf,bf,rd,gd,bd
new_year,1,0,6,255,255,128,255,128,128
tet,2,0,12,255,255,128,255,128,128
spring,3,23,31,255,255,128,255,128,128
spring2,4,27,30,255,255,128,255,128,128
spring3,5,0,1,255,255,128,255,128,128
summer1,6,13,30,255,255,128,255,128,128
summer2,7,0,30,255,255,128,255,128,128
q1,8,31,31,255,255,128,255,128,128
q2,9,0,2,255,255,128,255,128,128
autumn,10,5,13,255,255,128,255,128,128
end_year,12,19,31,255,255,128,255,128,128
memorial,4,19,19,0,0,255,0,0,167
myp,3,15,17,0,255,0,0,128,0
cat_tien,5,15,17,0,255,0,0,128,0
